proj_uid,PovertyChange2000,ChangeLFP00,Manuf1970Change,FamilyIncome2000Change,PopulationChange2000,logTotalPopulation,AvGini20112014,PrePostRecessionChange,UV_place,city,state,fips,displayname,citylongitude,citylatitude,TotalPopulation,Unemployment16up,LaborForce16up,Manuf,MedianFamilyIncome,MedianHouseholdIncome,ForeignBorn,FamilieswithChildren,percentPop2064,Poverty,White,BachPlus25up,HousingPre1980,VacancyRate,HomeAffordability,OwnerOccupied,High30GrossRent,MedianMonthlyHousingCosts,BWDI,HWDI,CBSA_POP_2022_5yr,SA_Part_Est2022,logSA_Part,geo_flag
oakridge_TN,2.1437116,-1.4229972,-80.218681,-18.738382,15.145872,10.358853,.3329717344945008,.0157100203021313,4755120,Oak Ridge,Tennessee,4755120,"Oak Ridge, Tennessee",-84.217412,36.03045,31535,5.5701227,56.790863,9.3583488,81784,67152,6.3675284,48.764435,55.173618,10.13287,80.469322,37.867294,67.716011,12.45144,3.1525495,63.529949,38.67231,1013,53.544914,35.311588,884359,3.5658593,-3.333765,Place
oakland_CA,-6.6524639,6.7458096,-61.595066,40.575211,9.5976305,12.989574,.3687164670179499,.0039097127319584,0653000,Oakland,California,653000,"Oakland, California",-122.221575,37.794212,437825,5.7971659,68.369797,6.1346383,109997,94389,26.286074,48.349648,64.918175,9.5336723,28.956774,48.412601,78.495094,7.7212377,9.3633795,42.067276,49.651405,2075,49.037815,60.421482,4692242,9.3308268,-2.3718464,Place
ocala_FL,.98423976,1.4043616,-48.57037,-4.2834215,38.22345,11.058858,.34021733600159,.0092735229675338,1250750,Ocala,Florida,1250750,"Ocala, Florida",-82.13449,29.18023,63504,8.3084841,57.594364,6.0222049,64444,50618,9.5789242,45.652176,56.588562,14.199668,57.690853,27.281921,45.901756,11.322151,3.7615077,48.881382,59.912746,1105,42.151802,27.908161,378225,16.790005,-1.7843864,Place
oceanside_CA,-2.6509879,3.943748,5.6713405,10.070624,7.882431,12.065211,.3568402280337792,-3.63397679726e-08,0653322,Oceanside,California,653322,"Oceanside, California",-117.315236,33.216407,173722,5.8620539,67.128662,12.236341,101357,86701,20.429768,44.442585,60.887508,5.5132036,44.282242,33.570457,39.120968,7.4478946,7.4347472,57.868778,61.554485,2124,41.710361,33.05024,3289701,5.2807837,-2.9410956,Place
odessa_TX,-3.9445372,8.4141779,-38.560528,33.534256,24.641809,11.638262,.3401294682664373,.0100284558172998,4853388,Odessa,Texas,4853388,"Odessa, Texas",-102.364361,31.86996,113353,6.1432028,69.148026,7.3431859,86796,71293,13.754378,60.134785,58.253418,12.044237,28.502113,18.448776,54.084682,8.4119186,2.7141514,59.147984,49.195637,1205,35.538048,31.073923,162300,69.841652,-.35893962,Place
ogden_UT,-4.7040038,2.4528296,56.693596,11.931649,12.337813,11.370831,.3218316004045664,.0159125249027867,4955980,Ogden,Utah,4955980,"Ogden, Utah",-111.95826,41.230542,86754,4.3233123,68.141518,15.908682,76861,66226,10.642737,52.268101,62.235748,7.9097733,62.666851,24.734856,67.252533,7.4655066,4.0769486,60.211594,43.632652,1138,41.661503,28.413616,696650,12.453025,-2.0832067,Place
oklahomacity_OK,-1.0429354,3.0605381,-54.985207,5.6530294,34.567268,13.431447,.3283386074590188,.0002247040826016,4055000,Oklahoma City,Oklahoma,4055000,"Oklahoma City, Oklahoma",-97.565257,35.495272,681088,4.4636669,67.421768,6.7598252,79514,64251,11.882312,51.636238,59.424477,11.330991,52.524197,33.213745,49.070351,9.6384134,3.0614309,59.523457,47.032822,1071,47.837654,50.440205,1428923,47.664433,-.74098474,Place
olathe_KS,1.77598,-5.3403406,-53.391956,-1.5610496,52.873219,11.864385,.3179348064208466,.0200742545669955,2052575,Olathe,Kansas,2052575,"Olathe, Kansas",-94.795202,38.880745,142114,3.2186475,73.567902,9.2826519,118875,108077,10.564758,52.788387,57.78178,4.1779723,75.066498,50.865746,24.969097,2.9742322,2.9414215,73.520706,44.47784,1607,35.123936,37.89399,2190750,6.4870024,-2.7353697,Place
omaha_NE,.46120128,.53519875,-51.931179,3.3862524,25.433905,13.100529,.3261354221019545,.0092785875274499,3137000,Omaha,Nebraska,3137000,"Omaha, Nebraska",-96.036813,41.25767,489201,4.2006278,69.885406,8.2318935,92630,70202,10.730558,50.469738,58.806091,8.3104181,65.108002,39.207836,62.507069,6.0101762,2.9956412,57.891647,47.907845,1196,57.860165,50.46125,966688,50.605881,-.6811024,Place
ontario_CA,-1.1820338,3.4253001,-65.587761,6.9520168,11.59379,12.08009,.3325357929634551,.0159604657081988,0653896,Ontario,California,653896,"Ontario, California",-117.638269,34.056332,176326,5.8317075,66.64222,10.904335,83022,78070,27.79454,53.422081,62.336243,11.050942,13.926477,19.233326,52.226551,4.0415277,6.5710258,55.660744,61.15609,1869,35.600975,29.689867,4610050,3.8248174,-3.2636595,Place
