City,C1,C2,C3,highlight,cluster
"Medford city, Oregon",2.65941855347961,0.015544142886417145,-0.7032035431938719,normal,3
"West Mifflin borough, Pennsylvania",-1.7360692318597453,-1.749334606960995,0.32789678209251655,normal,6
"Franklin city, Tennessee",-1.9940390285173075,0.37937208668829703,0.5149569817704607,normal,2
"Morristown city, Tennessee",1.7478737536749227,-1.0289347503936122,-1.0685698828774046,normal,3
"Oak Ridge city, Tennessee",-0.20809867941528726,-1.7679651115691493,0.10344940506643546,normal,4
"Smyrna town, Tennessee",-1.5732639130273478,-1.040016922787411,-0.5601345143395018,normal,2
"Bartlett city, Tennessee",-1.6526747044244425,-1.7266118858611414,0.6972737171573091,normal,6
"Greenville city, South Carolina",-0.008796721331180812,0.991399731799381,-0.5208072505074095,normal,1
"Mount Pleasant town, South Carolina",-1.20242431723267,0.8881435062134435,1.1477571883124758,normal,7
"Nashville-Davidson metropolitan government (balance), Tennessee",2.373032063611446,0.29030653493048453,-0.8141169390755247,normal,3
"Easton city, Pennsylvania",0.645102948316036,0.025677409335391754,-1.4228124461250853,normal,1
"Pottstown borough, Pennsylvania",0.44582030213683677,-0.2555024956023524,-1.0482488713341307,normal,1
"Lee's Summit city, Missouri",-1.5812025364556925,-1.5976183746611903,0.4004746832770754,normal,6
"Kansas City city, Missouri",2.243838757642208,-0.8887293670928309,-1.2156553111153197,normal,3
"Helena city, Montana",2.897335023053585,-0.6996467445647547,-1.1380793891029906,normal,3
"Winchester CDP, Nevada",0.3409657183966024,0.9246830608093908,-0.7022982678490233,normal,1
"Las Vegas city, Nevada",2.2449316684088094,0.4121563102448156,-0.5856444082336973,normal,3
"Sparks city, Nevada",2.0921487513861043,0.5036248828613927,-0.5056875190811705,normal,3
"Paradise CDP, Nevada",0.15474244988769126,1.0166554118836095,0.5227912672681261,normal,7
"Sunrise Manor CDP, Nevada",0.13417717851012778,1.0211906100952794,0.5551930525226045,normal,7
"Reno city, Nevada",2.4217719737371786,0.4188849593842199,-0.7112872443275999,normal,3
"Pahrump CDP, Nevada",-0.32701042257934976,-0.6590521667754481,0.9965557613295961,normal,7
"Summerlin South CDP, Nevada",-1.3639860447564738,0.5099038745606115,1.2078750290793825,normal,7
"Whitney CDP, Nevada",-0.17220643126160073,0.8504304553711584,0.2794603937191416,normal,7
"Clovis city, New Mexico",3.345319241650997,-0.10325935824273325,-2.0764916977959227,normal,3
"Carlsbad city, New Mexico",3.552643746503292,-1.1629221771514247,-1.6472294173317503,normal,8
"Albuquerque city, New Mexico",3.760992497571407,-0.6238687370574305,-1.4894646248894285,normal,8
"Farmington city, New Mexico",2.674223870404659,-1.073877606228573,-1.1494539818840575,normal,3
"Kingston city, New York",0.7544259730657918,-0.12710503085015512,-0.6399739227371763,normal,1
"Plainview CDP, New York",-1.0969054993310587,-1.2895596359526942,1.441548005573218,normal,6
"Hicksville CDP, New York",-1.327268272272648,-1.4493334625518153,1.6723101296348024,normal,6
"Levittown CDP, New York",-1.2995610531488078,-1.3340032432830164,1.5085420765799928,normal,6
"Rockville Centre village, New York",-1.3369841869989054,-1.350582871273739,1.725782052509253,normal,6
"Kernersville town, North Carolina",-0.10355022513061929,-1.7537477348601649,-0.2289241395073484,normal,4
"Findlay city, Ohio",3.227255791791378,-1.1583035324370692,-1.6560640177803587,normal,3
"Middletown city, Ohio",0.6104364100775106,-1.2950270508086512,-0.5630087695198607,normal,4
"Norwood city, Ohio",0.517774314053951,-0.01654437525628305,-1.196180208690698,normal,1
"Medina city, Ohio",-0.23667195402771402,-1.0692184303557704,0.6039710798186708,normal,4
"Marion city, Ohio",3.0606808368048055,-0.9089835022246668,-1.8710559449272703,normal,3
"Brunswick city, Ohio",-1.9414978321710246,-1.7009446953093836,0.24618031912273658,normal,6
